index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD),Number of Items Sold,Selling Price,City
0,Nike,Air Jordan 1,Basketball,Men,US 10,Red/Black,Leather,$170.00 ,18,$209.99,Bari
1,Adidas,Ultra Boost 21,Running,Men,US 9.5,Black,Primeknit,$180.00 ,14,$259.99,Catania
2,Reebok,Classic Leather,Casual,Men,US 11,White,Leather,$75.00 ,20,$99.99,Turin
3,Converse,Chuck Taylor,Casual,Women,US 8,Navy,Canvas,$55.00 ,73,$239.99,Turin
4,Puma,Future Rider,Lifestyle,Women,US 7.5,Pink,Mesh,$80.00 ,78,$279.99,Turin
5,Vans,Old Skool,Skate,Men,US 8.5,Black/White,Suede/Canvas,$65.00 ,65,$99.99,Genoa
6,New Balance,990v5,Running,Women,US 6.5,Grey,Suede/Mesh,$175.00 ,17,$219.99,Naples
7,Asics,Gel-Kayano 28,Running,Men,US 10.5,Blue,Mesh,$160.00 ,61,$239.99,Genoa
8,Fila,Disruptor II,Fashion,Women,US 9,White,Leather/Synthetic,$65.00 ,29,$99.99,Naples
9,Skechers,Go Run Razor 3,Running,Men,US 9,Black,Mesh,$110.00 ,59,$249.99,Naples
10,Nike,Air Max 270,Running,Women,US 7,Pink,Mesh,$150.00 ,51,$169.99,Bari
11,Adidas,Stan Smith,Casual,Men,US 9,White/Green,Leather,$80.00 ,62,$209.99,Milan
12,Reebok,Club C 85,Casual,Women,US 8.5,Pink,Leather,$70.00 ,58,$209.99,Rome
13,Converse,One Star,Skate,Men,US 10,Black,Suede,$75.00 ,18,$119.99,Catania
14,Puma,RS-Fast,Lifestyle,Men,US 9.5,Yellow,Leather/Synthetic,$110.00 ,29,$229.99,Milan
15,Vans,Authentic,Skate,Women,US 6,White,Canvas,$50.00 ,72,$129.99,Catania
16,New Balance,Fresh Foam 1080v11,Running,Men,US 11.5,Blue,Mesh,$150.00 ,77,$219.99,Catania
17,Asics,Gel-Nimbus 23,Running,Women,US 8,Purple,Mesh,$150.00 ,99,$249.99,Naples
18,Fila,Ray Tracer,Fashion,Men,US 10,Black,Synthetic,$70.00 ,4,$149.99,Florence
19,Skechers,Arch Fit,Walking,Women,US 7.5,Grey,Mesh,$70.00 ,2,$259.99,Florence
20,Nike,Air Force 1,Casual,Men,US 10,White,Leather,$90.00 ,13,$219.99,Turin
21,Adidas,NMD_R1,Running,Women,US 8.5,Black/Pink,Primeknit,$140.00 ,93,$249.99,Florence
22,Reebok,Zig Kinetica II,Running,Men,US 11,White,Mesh,$120.00 ,26,$189.99,Catania
23,Converse,Jack Purcell,Casual,Women,US 7.5,Navy,Canvas,$65.00 ,49,$259.99,Palermo
24,Puma,Calibrate Runner,Running,Men,US 9.5,Black,Mesh,$80.00 ,58,$119.99,Genoa
25,Vans,Sk8-Hi,Skate,Women,US 8,Black/White,Suede/Canvas,$70.00 ,47,$239.99,Catania
26,New Balance,327,Lifestyle,Men,US 10,Blue/Orange,Suede/Mesh,$90.00 ,32,$179.99,Milan
27,Asics,Gel-Quantum 180,Running,Women,US 9,Grey,Mesh/Synthetic,$120.00 ,5,$209.99,Milan
28,Fila,Mindblower,Fashion,Men,US 8.5,White,Leather/Synthetic,$75.00 ,27,$259.99,Florence
29,Skechers,D'Lites,Walking,Women,US 7,Black,Synthetic,$65.00 ,30,$159.99,Naples
30,Nike,Air Max 2090,Running,Men,US 9,Grey,Mesh,$150.00 ,77,$179.99,Turin
31,Adidas,Adizero Adios 5,Running,Women,US 7.5,Blue,Mesh,$170.00 ,86,$279.99,Bari
32,Reebok,Nano 9,Cross-training,Men,US 10,Black,Mesh/Synthetic,$130.00 ,23,$249.99,Bari
33,Converse,Chuck 70,Casual,Women,US 9,Pink,Canvas,$85.00 ,16,$169.99,Florence
34,Puma,Future Rider Play,Lifestyle,Men,US 9,Black/Red,Synthetic,$90.00 ,79,$139.99,Palermo
35,Vans,Slip-On,Skate,Women,US 7,Checkered,Canvas,$50.00 ,80,$229.99,Bologna
36,New Balance,574,Casual,Men,US 9,Black/Grey,Suede/Textile,$80.00 ,90,$199.99,Florence
37,Asics,Gel-Kayano 27,Running,Women,US 8.5,Purple,Mesh/Synthetic,$160.00 ,21,$259.99,Bologna
38,Fila,Venom,Fashion,Men,US 9.5,White/Red,Leather/Synthetic,$65.00 ,71,$129.99,Bologna
39,Skechers,Go Walk 5,Walking,Women,US 7.5,Black,Mesh,$60.00 ,45,$209.99,Turin
40,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 ,99,$149.99,Genoa
41,Adidas,NMD_R1,Running,Women,US 9,Black,Knit,$140.00 ,32,$179.99,Palermo
