index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD),Number of Items Sold,Selling Price,City
0,Nike,Air Jordan 1,Basketball,Men,US 10,Red/Black,Leather,$170.00 ,80,$259.99,Palermo
1,Adidas,Ultra Boost 21,Running,Men,US 9.5,Black,Primeknit,$180.00 ,42,$219.99,Genoa
2,Reebok,Classic Leather,Casual,Men,US 11,White,Leather,$75.00 ,75,$119.99,Catania
3,Converse,Chuck Taylor,Casual,Women,US 8,Navy,Canvas,$55.00 ,31,$129.99,Bari
4,Puma,Future Rider,Lifestyle,Women,US 7.5,Pink,Mesh,$80.00 ,96,$219.99,Milan
5,Vans,Old Skool,Skate,Men,US 8.5,Black/White,Suede/Canvas,$65.00 ,29,$159.99,Florence
6,New Balance,990v5,Running,Women,US 6.5,Grey,Suede/Mesh,$175.00 ,1,$239.99,Florence
7,Asics,Gel-Kayano 28,Running,Men,US 10.5,Blue,Mesh,$160.00 ,82,$199.99,Bari
8,Fila,Disruptor II,Fashion,Women,US 9,White,Leather/Synthetic,$65.00 ,66,$169.99,Bologna
9,Skechers,Go Run Razor 3,Running,Men,US 9,Black,Mesh,$110.00 ,71,$209.99,Catania
10,Nike,Air Max 270,Running,Women,US 7,Pink,Mesh,$150.00 ,63,$259.99,Naples
11,Adidas,Stan Smith,Casual,Men,US 9,White/Green,Leather,$80.00 ,58,$249.99,Florence
12,Reebok,Club C 85,Casual,Women,US 8.5,Pink,Leather,$70.00 ,32,$229.99,Genoa
13,Converse,One Star,Skate,Men,US 10,Black,Suede,$75.00 ,82,$89.99,Genoa
14,Puma,RS-Fast,Lifestyle,Men,US 9.5,Yellow,Leather/Synthetic,$110.00 ,34,$239.99,Naples
15,Vans,Authentic,Skate,Women,US 6,White,Canvas,$50.00 ,74,$269.99,Genoa
16,New Balance,Fresh Foam 1080v11,Running,Men,US 11.5,Blue,Mesh,$150.00 ,51,$169.99,Palermo
17,Asics,Gel-Nimbus 23,Running,Women,US 8,Purple,Mesh,$150.00 ,3,$289.99,Bari
18,Fila,Ray Tracer,Fashion,Men,US 10,Black,Synthetic,$70.00 ,35,$279.99,Bologna
19,Skechers,Arch Fit,Walking,Women,US 7.5,Grey,Mesh,$70.00 ,73,$179.99,Rome
20,Nike,Air Force 1,Casual,Men,US 10,White,Leather,$90.00 ,52,$119.99,Palermo
21,Adidas,NMD_R1,Running,Women,US 8.5,Black/Pink,Primeknit,$140.00 ,6,$189.99,Milan
22,Reebok,Zig Kinetica II,Running,Men,US 11,White,Mesh,$120.00 ,53,$229.99,Catania
23,Converse,Jack Purcell,Casual,Women,US 7.5,Navy,Canvas,$65.00 ,44,$179.99,Genoa
24,Puma,Calibrate Runner,Running,Men,US 9.5,Black,Mesh,$80.00 ,98,$219.99,Naples
25,Vans,Sk8-Hi,Skate,Women,US 8,Black/White,Suede/Canvas,$70.00 ,57,$119.99,Rome
26,New Balance,327,Lifestyle,Men,US 10,Blue/Orange,Suede/Mesh,$90.00 ,86,$139.99,Bari
27,Asics,Gel-Quantum 180,Running,Women,US 9,Grey,Mesh/Synthetic,$120.00 ,80,$159.99,Bari
28,Fila,Mindblower,Fashion,Men,US 8.5,White,Leather/Synthetic,$75.00 ,30,$259.99,Bari
29,Skechers,D'Lites,Walking,Women,US 7,Black,Synthetic,$65.00 ,94,$169.99,Rome
30,Nike,Air Max 2090,Running,Men,US 9,Grey,Mesh,$150.00 ,40,$189.99,Catania
31,Adidas,Adizero Adios 5,Running,Women,US 7.5,Blue,Mesh,$170.00 ,92,$239.99,Bari
32,Reebok,Nano 9,Cross-training,Men,US 10,Black,Mesh/Synthetic,$130.00 ,37,$149.99,Catania
33,Converse,Chuck 70,Casual,Women,US 9,Pink,Canvas,$85.00 ,22,$269.99,Palermo
34,Puma,Future Rider Play,Lifestyle,Men,US 9,Black/Red,Synthetic,$90.00 ,88,$149.99,Bari
35,Vans,Slip-On,Skate,Women,US 7,Checkered,Canvas,$50.00 ,76,$119.99,Palermo
36,New Balance,574,Casual,Men,US 9,Black/Grey,Suede/Textile,$80.00 ,74,$159.99,Genoa
37,Asics,Gel-Kayano 27,Running,Women,US 8.5,Purple,Mesh/Synthetic,$160.00 ,77,$279.99,Bari
38,Fila,Venom,Fashion,Men,US 9.5,White/Red,Leather/Synthetic,$65.00 ,46,$99.99,Rome
39,Skechers,Go Walk 5,Walking,Women,US 7.5,Black,Mesh,$60.00 ,30,$249.99,Rome
40,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 ,50,$189.99,Palermo
